[1,085s][debug  ][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.compareAndSetLong (0x00007f376f1b1910) [0x00007f376f1b1aa0, 0x00007f376f1b1c90] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,086s][debug  ][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.putVal (0x00007f374fa22390) [0x00007f374fa22740, 0x00007f374fa243c0] Compiler: c1, Barriers: 28, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[1,086s][debug  ][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.next (0x00007f374fa24d90) [0x00007f374fa24f60, 0x00007f374fa252e8] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,086s][debug  ][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.tabAt (0x00007f374fa25490) [0x00007f374fa25640, 0x00007f374fa25900] Compiler: c1, Barriers: 1, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[1,086s][debug  ][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.getReferenceAcquire (0x00007f374fa25a10) [0x00007f374fa25ba0, 0x00007f374fa25cd0] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,086s][debug  ][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.spread (0x00007f374fa25d90) [0x00007f374fa25f20, 0x00007f374fa26010] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,087s][debug  ][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap.addCount (0x00007f374fa26090) [0x00007f374fa262e0, 0x00007f374fa26cb8] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,087s][debug  ][gc,nmethod  ] Register NMethod: java.util.concurrent.ConcurrentHashMap$Node.<init> (0x00007f374fa26f90) [0x00007f374fa27140, 0x00007f374fa27398] Compiler: c1, Barriers: 6, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,088s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007f376f1b1d10) [0x00007f376f1b1e80, 0x00007f376f1b1f70] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[1,089s][debug  ][gc,nmethod  ] Register NMethod: java.lang.invoke.MethodHandle.linkToStatic (0x00007f376f1b2010) [0x00007f376f1b2180, 0x00007f376f1b2270] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
